Manos duras,1,2,3,4,5,6,7,8,9,10,11
1,,,,,,,,,,,
2,,P,P,P,P,P,P,P,P,P,P
3,,P,P,P,P,P,P,P,P,P,P
4,,P,P,P,P,P,P,P,P,P,P
5,,P,P,P,P,P,P,P,P,P,P
6,,P,P,P,P,P,P,P,P,P,P
7,,P,P,P,P,P,P,P,P,P,P
8,,P,P,P,D,D,P,P,P,P,P
9,,D,D,D,D,D,D,P,P,P,P
10,,D,D,D,D,D,D,D,D,P,P
11,,D,D,D,D,D,D,D,D,D,D
12,,P,P,Q,Q,Q,P,P,P,P,P
13,,Q,Q,Q,Q,Q,P,P,P,P,P
14,,Q,Q,Q,Q,Q,P,P,P,P,P
15,,Q,Q,Q,Q,Q,P,P,P,P,Rp
16,,Q,Q,Q,Q,Q,P,P,P,Rp,Rp
17,,Q,Q,Q,Q,Q,Q,Q,Q,Q,Rp
18,,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
19,,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
20,,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
21,,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
Manos blandas,1,2,3,4,5,6,7,8,9,10,11
A-1,,P,P,D,D,D,P,P,P,P,P
A-2,,P,P,D,D,D,P,P,P,P,P
A-3,,P,P,D,D,D,P,P,P,P,P
A-4,,P,P,D,D,D,P,P,P,P,P
A-5,,P,P,D,D,D,P,P,P,P,P
A-6,,D,D,D,D,D,P,P,P,P,P
A-7,,Q,D,D,D,D,Q,Q,P,P,Q
A-8,,Q,Q,Q,Q,D,Q,Q,P,P,Q
A-9,,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
A-10,,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
Dobles,1,2,3,4,5,6,7,8,9,10,11
2-2,,S,S,S,S,S,S,P,P,P,P
3-3,,S,S,S,S,S,S,S,P,P,P
4-4,,P,P,S,S,S,P,P,P,P,P
5-5,,D,D,D,D,D,D,D,D,P,P
6-6,,S,S,S,S,S,S,P,P,P,P
7-7,,S,S,S,S,S,S,S,P,Rp,Rp
8-8,,S,S,S,S,S,S,S,S,S,S
9-9,,S,S,S,S,S,Q,S,S,Q,Q
10-10,,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
11-11,,S,S,S,S,S,S,S,S,S,S